기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-06-01,⑧ 공장,QC 부적합률(%) · 부산공장,9.8,,,전년比 상승 금지,
2026-06-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,18.0,,,전년比 상승 금지,
2026-06-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.54,0.56,-3.6,전년比 상승 금지,양호
2026-06-01,⑨ 진단,QC 진행률(%) · 부산공장,28.1,0,,,
2026-06-01,⑧ 공장,QC 부적합률(%) · 성수공장,10.7,,,전년比 상승 금지,
2026-06-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,19.1,,,전년比 상승 금지,
2026-06-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.62,0.64,-3.1,전년比 상승 금지,양호
2026-06-01,⑨ 진단,QC 진행률(%) · 성수공장,39.34,0,,,
2026-06-01,⑨ 진단,QC 진행률(%),28.1,0,,,
2026-06-01,⑨ 진단,스파팅 진행률(%),7.2,0,,,
2026-06-01,⑨ 진단,스파팅 결과 미입력률(%),1.7,,,,
